Name,Away,Away GA,Away NGFP,Away YGFP,Away GAA,Home,Home GA,Home NGFP,Home YGFP,Home GAA,Total NGFP,Total YGFP,Season GAA,L5 Streak,NGFP Streak,YGFP Streak
Jacob Markstrom,5,3.0,3,2,1.8,3,7.0,0,3,7.0,3,5,3.01,2,0,3
Ukko-Pekka Luukkonen,2,1.0,1,1,1.5,4,3.0,2,2,2.25,3,3,3.01,3,0,1
Devon Levi,2,2.0,1,1,3.0,1,1.0,0,1,3.0,1,2,2.57,1,0,2
Jake Allen,0,0,0,0,0,4,3.0,2,2,2.25,2,2,3.25,2,0,2
Jordan Binnington,4,3.0,2,2,2.25,2,1.0,1,1,1.5,3,3,2.86,2,0,1
Philipp Grubauer,1,2.0,0,1,6.0,3,3.0,1,2,3.0,1,3,3.10,1,0,3
Joonas Korpisalo,2,5.0,0,2,7.5,0,0,0,0,0,0,2,6.19,0,0,2
Sergei Bobrovsky,3,4.0,0,3,4.0,3,3.0,0,3,3.0,0,6,3.11,0,0,6
Petr Mrazek,4,4.0,1,3,3.0,3,4.0,2,1,4.0,3,4,3.20,2,0,1
Connor Ingram,4,3.0,1,3,2.25,3,4.0,2,1,4.0,3,4,3.71,2,1,0
Anthony Stolarz,2,1.0,1,1,1.5,4,3.0,1,3,2.25,2,4,2.19,2,1,0
Sam Montembeault,0,0,0,0,0,5,3.0,3,2,1.8,3,2,2.94,3,1,0
Igor Shesterkin,3,1.0,2,1,1.0,3,4.0,0,3,4.0,2,4,2.16,1,0,2
Tristan Jarry,1,1.0,0,1,3.0,1,3.0,0,1,9.0,0,2,6.00,0,0,2
Connor Hellebuyck,3,2.0,1,2,2.0,3,2.0,1,2,2.0,2,4,1.66,1,0,4
Stuart Skinner,1,0.0,1,0,0.0,5,4.0,3,2,2.4,4,2,3.06,4,3,0
Dan Vladar,3,5.0,1,2,5.0,1,1.0,0,1,3.0,1,3,2.73,1,0,1
Arturs Silovs,1,1.0,0,1,3.0,1,1.0,0,1,3.0,0,2,5.94,0,0,2
Justus Annunen,4,3.0,2,2,2.25,2,2.0,1,1,3.0,3,3,2.48,3,3,0
Adin Hill,2,3.0,0,2,4.5,3,5.0,0,3,5.0,0,5,3.85,0,0,5
Cayden Primeau,3,6.0,0,3,6.0,1,4.0,0,1,12.0,0,4,3.89,0,0,4
Jeremy Swayman,2,1.0,1,1,1.5,5,5.0,2,3,3.0,3,4,2.97,2,1,0
Darcy Kuemper,3,1.0,2,1,1.0,1,0.0,1,0,0.0,3,1,3.20,3,1,0
Linus Ullmark,3,4.0,1,2,4.0,1,0.0,1,0,0.0,2,2,3.35,1,0,3
Dennis Hildeby,2,4.0,0,2,6.0,0,0,0,0,0,0,2,4.03,0,0,2
Semyon Varlamov,1,1.0,0,1,3.0,3,3.0,0,3,3.0,0,4,3.72,0,0,4
Joel Blomqvist,3,1.0,2,1,1.0,2,4.0,0,2,6.0,2,3,3.34,2,1,0
Ville Husso,0,0,0,0,0,1,1.0,0,1,3.0,0,1,3.03,0,0,1
Jake Oettinger,2,0.0,2,0,0.0,4,0.0,4,0,0.0,6,0,1.84,5,6,0
Scott Wedgewood,0,0,0,0,0,2,0.0,2,0,0.0,2,0,3.54,2,2,0
Elvis Merzlikins,1,1.0,0,1,3.0,1,0.0,1,0,0.0,1,1,3.07,1,1,0
Filip Gustavsson,5,3.0,3,2,1.8,1,0.0,1,0,0.0,4,2,2.17,3,0,1
Joel Hofer,1,2.0,0,1,6.0,2,1.0,1,1,1.5,1,2,2.32,1,0,1
Mackenzie Blackwood,4,7.0,2,2,5.25,1,1.0,0,1,3.0,2,3,3.88,2,0,1
Andrei Vasilevskiy,2,3.0,0,2,4.5,4,3.0,2,2,2.25,2,4,3.13,2,1,0
Frederik Andersen,3,2.0,1,2,2.0,1,0.0,1,0,0.0,2,2,1.49,2,1,0
Arvid Soderblom,1,0.0,1,0,0.0,1,2.0,0,1,6.0,1,1,2.52,1,0,1
Samuel Ersson,3,2.0,1,2,2.0,3,3.0,1,2,3.0,2,4,3.56,2,1,0
Kevin Lankinen,3,3.0,1,2,3.0,2,2.0,0,2,3.0,1,4,1.95,1,0,2
Spencer Knight,3,5.0,1,2,5.0,1,2.0,0,1,6.0,1,3,3.03,1,0,2
Juuse Saros,2,1.0,1,1,1.5,4,5.0,1,3,3.75,2,4,2.74,1,0,1
Cam Talbot,0,0,0,0,0,3,1.0,2,1,1.0,2,1,3.16,2,1,0
Charlie Lindgren,2,0.0,2,0,0.0,2,3.0,0,2,4.5,2,2,2.53,2,2,0
Joey Daccord,2,3.0,0,2,4.5,3,2.0,1,2,2.0,1,4,2.95,1,0,1
Marc-Andre Fleury,1,0.0,1,0,0.0,1,0.0,1,0,0.0,2,0,2.89,2,2,0
Daniil Tarasov,2,1.0,1,1,1.5,3,1.0,2,1,1.0,3,2,3.42,3,2,0
Ivan Fedotov,2,3.0,0,2,4.5,0,0,0,0,0,0,2,5.35,0,0,2
Dustin Wolf,0,0,0,0,0,4,3.0,2,2,2.25,2,2,2.74,2,0,1
Calvin Pickard,2,2.0,0,2,3.0,1,1.0,0,1,3.0,0,3,2.91,0,0,3
Lukas Dostal,3,0.0,3,0,0.0,3,2.0,2,1,2.0,5,1,2.17,4,4,0
Vitek Vanecek,2,5.0,0,2,7.5,2,2.0,1,1,3.0,1,3,4.00,1,0,3
Casey DeSmith,2,1.0,1,1,1.5,1,0.0,1,0,0.0,2,1,1.69,2,0,1
James Reimer,2,1.0,1,1,1.5,0,0,0,0,0,1,1,4.50,1,1,0
Ilya Samsonov,1,0.0,1,0,0.0,3,1.0,2,1,1.0,3,1,2.21,3,3,0
Mads Sogaard,0,0,0,0,0,1,2.0,0,1,6.0,0,1,3.44,0,0,1
Karel Vejmelka,1,0.0,1,0,0.0,1,2.0,0,1,6.0,1,1,3.04,1,0,1
Alex Lyon,4,4.0,1,3,3.0,1,2.0,0,1,6.0,1,4,2.05,1,0,1
Ilya Sorokin,3,2.0,1,2,2.0,1,1.0,0,1,3.0,1,3,1.74,1,0,2
Alexandar Georgiev,0,0,0,0,0,3,6.0,0,3,6.0,0,3,5.79,0,0,3
Logan Thompson,1,1.0,0,1,3.0,2,1.0,1,1,1.5,1,2,3.28,1,1,0
Pyotr Kochetkov,2,0.0,2,0,0.0,1,0.0,1,0,0.0,3,0,2.70,3,3,0
David Rittich,4,7.0,1,3,5.25,1,0.0,1,0,0.0,2,3,3.09,2,1,0
Anton Forsberg,1,0.0,1,0,0.0,2,0.0,2,0,0.0,3,0,2.94,3,3,0
Jonathan Quick,1,0.0,1,0,0.0,1,0.0,1,0,0.0,2,0,1.51,2,2,0
Alex Nedeljkovic,3,1.0,2,1,1.0,0,0,0,0,0,2,1,3.94,2,1,0
Eric Comrie,1,1.0,0,1,3.0,1,0.0,1,0,0.0,1,1,3.00,1,0,1
Jonas Johansson,2,2.0,0,2,3.0,0,0,0,0,0,0,2,4.08,0,0,2
Joseph Woll,0,0,0,0,0,1,2.0,0,1,6.0,0,1,4.08,0,0,1
Aleksei Kolosov,0,0,0,0,0,1,1.0,0,1,3.0,0,1,4.13,0,0,1
