Name,Away,Away GS,Away GA,Away NGFP,Away YGFP,Away NGSFP,Away YGSFP,Home,Home GS,Home GA,Home NGFP,Home YGFP,Home NGSFP,Home YGSFP,Total NGFP,Total YGFP,Total NGSFP,Total YGSFP,Intra NGFP,Intra YGFP,Intra NGSFP,Intra YGSFP,L10 Streak,NGSFP Streak,YGSFP Streak
Devils,5,5,3,2,3,2,3,7,4,10,2,5,3,4,4,8,5,7,1,3,1,3,4,1,0
Sabres,4,5,3,1,3,2,2,5,4,4,2,3,3,2,3,6,5,4,0,2,0,2,5,0,1
Blues,5,4,5,1,4,2,3,4,1,2,1,3,3,1,2,7,5,4,0,2,1,1,5,1,0
Kraken,3,3,5,0,3,2,1,6,2,5,1,5,4,2,1,8,6,3,0,1,1,0,6,1,0
Bruins,4,3,6,1,3,2,2,5,5,5,2,3,2,3,3,6,4,5,1,3,1,3,4,1,0
Panthers,6,6,9,1,5,2,4,4,5,5,0,4,2,2,1,9,4,6,0,4,1,3,4,0,2
Blackhawks,5,2,4,1,4,3,2,4,5,6,0,4,1,3,1,8,4,5,1,3,3,1,4,1,0
Utah Hockey Club,5,4,3,2,3,2,3,4,2,6,1,3,3,1,3,6,5,4,0,2,1,1,5,4,0
Maple Leafs,4,3,5,1,3,3,1,5,4,5,0,5,3,2,1,8,6,3,1,2,2,1,6,3,0
Canadiens,3,4,6,0,3,0,3,6,7,7,0,6,0,6,0,9,0,9,0,3,0,3,0,0,9
Rangers,4,10,1,0,4,0,4,4,3,4,1,3,1,3,1,7,1,7,0,1,0,1,1,1,0
Penguins,7,5,3,2,5,3,4,3,2,7,0,3,1,2,2,8,4,6,0,2,1,1,4,0,1
Jets,4,4,3,0,4,2,2,4,5,2,2,2,2,2,2,6,4,4,1,2,2,1,4,0,1
Oilers,3,1,2,1,2,2,1,6,2,5,1,5,4,2,2,7,6,3,0,1,0,1,6,2,0
Flames,3,2,5,0,3,1,2,5,5,4,0,5,1,4,0,8,2,6,0,3,1,2,2,0,1
Canucks,4,6,4,0,4,1,3,3,5,3,0,3,1,2,0,7,2,5,0,1,0,1,2,1,0
Avalanche,4,6,4,0,4,0,4,5,4,8,0,5,1,4,0,9,1,8,0,1,0,1,1,0,4
Golden Knights,3,4,3,0,3,0,3,6,14,6,0,6,0,6,0,9,0,9,0,3,0,3,0,0,9
Kings,7,3,8,3,4,5,2,2,3,0,1,1,1,1,4,5,6,3,1,2,2,1,6,1,0
Senators,4,7,5,0,4,2,2,4,5,2,1,3,1,3,1,7,3,5,0,3,1,2,3,1,0
Islanders,4,4,3,1,3,2,2,4,6,4,0,4,1,3,1,7,3,5,0,1,0,1,3,0,2
Red Wings,4,4,4,0,4,0,4,5,4,4,1,4,2,3,1,8,2,7,0,1,0,1,2,0,5
Stars,4,2,1,2,2,2,2,5,4,0,2,3,2,3,4,5,4,5,1,1,1,1,4,0,2
Predators,2,0,1,1,1,2,0,6,5,5,2,4,2,4,3,5,4,4,1,1,2,0,4,2,0
Blue Jackets,3,2,2,1,2,2,1,4,5,1,1,3,2,2,2,5,4,3,0,0,0,0,4,1,0
Wild,6,6,3,0,6,1,5,2,2,0,0,2,0,2,0,8,1,7,0,2,0,2,1,1,0
Sharks,6,1,12,2,4,5,1,3,3,3,1,2,1,2,3,6,6,3,2,2,4,0,6,3,0
Lightning,4,2,5,0,4,2,2,4,3,3,1,3,2,2,1,7,4,4,0,2,1,1,4,2,0
Hurricanes,5,4,2,0,5,1,4,2,1,0,1,1,1,1,1,6,2,5,1,1,1,1,2,0,2
Flyers,5,5,5,0,5,2,3,4,3,4,0,4,2,2,0,9,4,5,0,2,2,0,4,0,2
Capitals,3,5,1,1,2,1,2,4,3,4,0,4,1,3,1,6,2,5,0,4,0,4,2,1,0
Ducks,5,4,1,2,3,2,3,3,1,2,2,1,2,1,4,4,4,4,3,1,3,1,4,0,1
