Name,Away,Away GS,Away GA,Away NGSP,Away YGSP,Away NGSSP,Away YGSSP,Home,Home GS,Home GA,Home NGSP,Home YGSP,Home NGSSP,Home YGSSP,Total NGSP,Total YGSP,Total NGSSP,Total YGSSP,Intra NGSP,Intra YGSP,Intra NGSSP,Intra YGSSP,L10 Streak,NGSSP Streak,YGSSP Streak
Devils,5,7,3,0,5,0,5,7,12,10,0,7,0,7,0,12,0,12,0,4,0,4,0,0,12
Sabres,4,5,7,0,4,1,3,5,7,4,0,5,1,4,0,9,2,7,0,2,0,2,2,0,4
Blues,5,7,8,0,5,1,4,4,3,4,1,3,3,1,1,8,4,5,0,2,2,0,4,0,2
Kraken,3,2,2,1,2,2,1,6,8,8,0,6,2,4,1,8,4,5,0,1,0,1,4,2,0
Bruins,4,4,3,0,4,1,3,5,9,8,0,5,0,5,0,9,1,8,0,4,0,4,1,0,2
Panthers,6,10,6,0,6,0,6,4,5,6,0,4,0,4,0,10,0,10,0,4,0,4,0,0,10
Blackhawks,5,4,4,0,5,2,3,4,4,4,1,3,1,3,1,8,3,6,0,4,1,3,3,1,0
Utah Hockey Club,5,6,9,0,5,2,3,4,1,4,1,3,3,1,1,8,5,4,0,2,1,1,5,0,1
Maple Leafs,4,4,6,1,3,1,3,5,9,2,0,5,1,4,1,8,2,7,1,2,1,2,2,0,4
Canadiens,3,4,2,0,3,1,2,6,5,5,2,4,3,3,2,7,4,5,2,1,3,0,4,0,4
Rangers,4,6,2,0,4,0,4,4,4,5,1,3,2,2,1,7,2,6,0,1,0,1,2,2,0
Penguins,7,8,14,0,7,2,5,3,2,3,0,3,2,1,0,10,4,6,0,2,2,0,4,0,1
Jets,4,8,1,0,4,1,3,4,4,4,1,3,2,2,1,7,3,5,1,2,2,1,3,1,0
Oilers,3,3,3,0,3,1,2,6,6,7,0,6,2,4,0,9,3,6,0,1,1,0,3,0,3
Flames,3,2,1,0,3,1,2,5,4,5,0,5,1,4,0,8,2,6,0,3,1,2,2,0,2
Canucks,4,3,2,1,3,2,2,3,5,2,0,3,1,2,1,6,3,4,0,1,1,0,3,0,1
Avalanche,4,6,3,1,3,1,3,5,5,7,0,5,1,4,1,8,2,7,0,1,0,1,2,0,3
Golden Knights,3,3,5,0,3,0,3,6,6,7,1,5,2,4,1,8,2,7,1,2,2,1,2,0,2
Kings,7,6,8,1,6,3,4,2,2,2,0,2,1,1,1,8,4,5,1,2,2,1,4,0,1
Senators,4,1,2,2,2,3,1,4,6,9,0,4,2,2,2,6,5,3,1,2,2,1,5,1,0
Islanders,4,3,2,1,3,2,2,4,0,4,1,3,4,0,2,6,6,2,0,1,0,1,6,1,0
Red Wings,4,3,3,1,3,2,2,5,4,8,0,5,1,4,1,8,3,6,0,1,0,1,3,0,2
Stars,4,8,7,0,4,1,3,5,5,2,1,4,1,4,1,8,2,7,0,2,0,2,2,0,2
Predators,2,2,2,0,2,1,1,6,5,9,0,6,1,5,0,8,2,6,0,2,0,2,2,0,3
Blue Jackets,3,6,4,0,3,0,3,4,6,7,1,3,1,3,1,6,1,6,0,0,0,0,1,0,2
Wild,6,8,4,2,4,2,4,2,2,3,0,2,0,2,2,6,2,6,1,1,1,1,2,0,3
Sharks,6,7,7,0,6,1,5,3,2,0,2,1,2,1,2,7,3,6,1,3,2,2,3,0,2
Lightning,4,9,7,0,4,1,3,4,4,2,0,4,1,3,0,8,2,6,0,2,1,1,2,0,3
Hurricanes,5,5,5,0,5,2,3,2,2,2,0,2,1,1,0,7,3,4,0,2,0,2,3,0,2
Flyers,5,5,11,0,5,2,3,4,1,8,1,3,3,1,1,8,5,4,1,1,1,1,5,1,0
Capitals,3,2,3,1,2,2,1,4,10,6,0,4,0,4,1,6,2,5,1,3,1,3,2,1,0
Ducks,5,0,5,3,2,5,0,3,3,0,1,2,1,2,4,4,6,2,3,1,3,1,6,2,0
